Date1,Temp1,,,,,,,,,,,,,,
3/1/2008,3.2,,,,,,,,,,,,,,
4/1/2008,5.4,,,,,,,,,,,,,,
5/1/2008,10.3,,,,,,,,,,,,,,
6/1/2008,10.7,,,,,,,,,,,,,,
7/1/2008,13.7,,,,,,,,,,,,,,
8/1/2008,13.1,,,,,,,,,,,,,,
9/1/2008,11,,,,,,,,,,,,,,
10/1/2008,6.9,,,,,,,,,,,,,,
11/1/2008,4.5,,,,,,,,,,,,,,
12/1/2008,2.2,,,,,,,,,,,,,,
1/1/2009,2.8,,,,,,,,,,,,,,
2/1/2009,2.7,,,,,,,,,,,,,,
3/1/2009,4.7,,,,,,,,,,,,,,
4/1/2009,7.7,,,,,,,,,,,,,,
5/1/2009,8.9,,,,,,,,,,,,,,
6/1/2009,11.6,,,,,,,,,,,,,,
7/1/2009,13.4,,,,,,,,,,,,,,
8/1/2009,13.1,,,,,,,,,,,,,,
9/1/2009,11.5,,,,,,,,,,,,,,
10/1/2009,8.4,,,,,,,,,,,,,,
11/1/2009,5.2,,,,,,,,,,,,,,
12/1/2009,0.4,,,,,,,,,,,,,,
1/1/2010,0.3,,,,,,,,,,,,,,
2/1/2010,0.1,,,,,,,,,,,,,,
3/1/2010,3.6,,,,,,,,,,,,,,
4/1/2010,6.1,,,,,,,,,,,,,,
5/1/2010,7.7,,,,,,,,,,,,,,
6/1/2010,12,,,,,,,,,,,,,,
7/1/2010,12.6,,,,,,,,,,,,,,
8/1/2010,11.9,,,,,,,,,,,,,,
9/1/2010,10.7,,,,,,,,,,,,,,
10/1/2010,7.8,,,,,,,,,,,,,,
11/1/2010,2.4,,,,,,,,,,,,,,
12/1/2010,-1.5,,,,,,,,,,,,,,
1/1/2011,2.4,,,,,,,,,,,,,,
2/1/2011,3.5,,,,,,,,,,,,,,
3/1/2011,4.3,,,,,,,,,,,,,,
4/1/2011,8.8,,,,,,,,,,,,,,
5/1/2011,8.9,,,,,,,,,,,,,,
6/1/2011,10.2,,,,,,,,,,,,,,
7/1/2011,12.3,,,,,,,,,,,,,,
8/1/2011,11.6,,,,,,,,,,,,,,
9/1/2011,11.5,,,,,,,,,,,,,,
10/1/2011,8.9,,,,,,,,,,,,,,
